tsne_all_1,tsne_all_2,tsne_all_3,id
-29.253696,-148.1738,21.272131,1
-175.64313,-1.8324682,144.3694,2
-297.00156,-258.88757,96.713264,3
-73.40372,30.569944,46.229507,4
-297.01144,-164.23325,36.543125,6
28.104853,24.68313,97.47864,7
33.41456,-68.52561,21.108305,8
-101.95001,-42.771244,17.77146,9
-25.571062,181.60352,-110.780174,10
55.890892,-69.87517,36.62133,11
-29.367874,27.587019,140.5804,12
267.50833,-90.014496,-34.516018,13
-245.30963,2.496906,-73.09472,14
72.23129,190.67413,-7.2888894,15
-123.615364,285.59372,-147.8135,16
-284.63113,492.93213,-48.00705,17
38.62419,135.4411,120.897194,18
1.2133285,218.32928,164.84575,19
70.07782,57.834312,124.16318,20
87.148735,68.568634,152.53813,21
-57.49283,-30.329987,59.641365,22
-75.00165,-65.74133,-162.14409,23
192.22375,-71.025604,-58.10019,24
31.25571,-173.40085,-73.12376,25
123.76823,122.94729,-84.47322,26
-168.79654,-69.02333,83.912155,27
56.977795,63.947975,25.523813,28
48.210613,-125.98299,-8.724884,29
84.24616,-35.58449,24.449543,30
-28.26109,-6.1757236,-100.53855,31
-10.890532,-101.03114,-50.17836,32
-114.87605,9.48806,40.53294,33
44.74801,-77.70665,54.58231,34
28.792225,-116.83539,83.86535,35
-96.85534,-19.026062,5.739258,36
-306.00055,-134.76111,-107.58321,37
-94.65866,13.127251,-44.62506,38
-216.40845,-198.26906,-103.93906,39
-82.52317,-153.8416,-116.660545,40
137.24826,-48.394386,20.244604,41
62.18578,-47.592255,-64.6755,42
-45.6298,21.714355,-134.60698,43
46.926968,-87.852196,-44.183857,44
-281.29938,364.3387,-183.82098,45
12.26241,-40.59585,-96.95445,46
151.03334,-94.32685,-88.40653,47
-75.50335,-46.347084,-120.69101,48
-127.72436,-122.04129,-56.681427,49
125.28605,57.30651,-126.33367,50
150.4863,-24.555714,-101.72665,51
113.05986,-72.44959,58.194263,52
107.596176,-39.367054,-71.24506,53
-516.2916,-242.45393,-133.0933,54
95.76308,43.398067,25.117374,55
-140.83218,-92.25244,-44.928596,56
48.789467,-145.04666,36.29404,57
89.374084,-63.23423,-99.03529,58
386.6876,49.091576,-1.3156401,59
-42.937973,-44.02183,-190.12302,60
141.2863,140.55392,-82.61217,62
9.258871,71.346954,98.58589,63
251.20724,-131.55573,-75.18058,64
-29.16611,67.60038,107.92678,65
-401.17798,-152.64227,-13.482032,66
-125.506004,-157.18105,-93.397804,71
275.86856,-50.500988,-44.120922,73
14.532463,29.96193,94.593185,74
68.25932,-193.08739,-44.698734,75
-59.595303,49.10295,-228.9369,76
57.648586,46.272644,47.244545,77
-64.08238,94.4791,-12.001374,78
138.20946,128.9555,-106.18659,79
27.580107,-49.51824,-81.91426,80
178.41075,57.400715,-99.68557,81
25.84128,-141.97505,-76.030304,82
-8.722076,35.806946,-82.23816,83
139.74664,100.03303,68.7898,84
263.58453,-91.87604,-0.5966306,85
-12.032411,-38.15938,328.3982,86
67.31958,-3.42334,-20.806446,87
78.94292,85.628586,-28.231642,88
-124.96372,-0.4409237,-85.916016,89
21.323942,43.45596,84.05631,90
-193.80566,-22.896544,-18.514536,95
35.278717,78.54167,160.38043,96
121.86778,-24.744877,189.1795,97
11.788175,-63.293476,103.10241,98
6.1478186,98.32524,2.467587,99
-264.55035,665.1619,-87.05593,100
113.58134,-42.004124,47.85209,101
-12.803963,147.14142,155.96298,102
-77.459656,96.36265,15.20763,103
-10.642793,100.48407,-33.726276,104
261.83057,-24.146112,90.13613,105
-80.78605,43.15034,24.872595,106
-319.411,-190.79512,154.83742,107
-430.52533,-252.03395,59.556572,108
-275.33707,-270.4123,22.200073,109
1.3588821,99.51916,320.11456,114
-159.86688,-31.725552,-78.97624,117
143.9785,56.082287,81.83564,118
113.55334,-86.53771,-45.74436,119
-31.904419,124.006035,25.570354,120
125.59025,47.156857,-23.134756,138
-29.389,-126.52392,-81.489265,163
-119.892845,-26.571583,-1.5319313,167
-119.413506,-94.28238,4.789981,168
-105.07701,297.3068,145.3146,170
-7.8267837,-22.134762,-89.509315,171
85.64722,-128.9209,-8.413139,172
153.32513,75.87654,18.500479,173
41.797565,-203.91599,-75.622314,174
-148.57185,159.26227,-185.63416,175
54.67334,39.260864,-135.1276,176
49.534275,-159.35744,28.853252,177
21.813917,-115.77568,-48.95031,178
177.59767,-193.57077,-69.822914,179
23.100609,-194.05975,-6.793042,180
-71.40008,-53.811115,-2.886039,183
-167.7485,26.222721,-117.06012,184
-394.1909,-321.422,-2.4187298,185
-21.345179,120.51564,42.420765,186
3.1827106,21.123852,-61.945988,187
-38.95956,77.370224,64.22951,188
